dataId,node1,node2,birthYear,gender,height,weight,walkSpeed,temperature,precipitationProbability,precipitation,takeTime,weightShortest,weightOptimal
277, AI공학관 더 올라가는 길목,AI공학관 올라가는 길목,2000,0,173.0,65.0,1,13.0,0.0,0.0,10.0,0.013034465235654574,-89.74201422138862
278, AI공학관 올라가는 길목,AI공학관 길목,2000,0,173.0,65.0,1,13.0,0.0,0.0,46.0,0.053766989853744236,-89.69179205063061
279, AI공학관 길목,AI공학관 1층 흡연장 정문,2000,0,173.0,65.0,1,13.0,0.0,0.0,62.0,0.07709506083444671,89.48250030337415
280, AI공학관 1층 흡연장 정문,AI공학관 흡연장 코너,2000,0,173.0,65.0,1,13.0,0.0,0.0,6.0,0.008500172492682964,-89.04513937287659
281, AI공학관 흡연장 코너,AI공학관 1층 흡연장 정문,2000,0,173.0,65.0,1,13.0,0.0,0.0,4.0,0.008500172492682964,89.04513937287659
282, AI공학관 1층 흡연장 정문,AI공학관 흡연장 코너,2000,0,173.0,65.0,1,0.0,0.0,0.0,19.0,0.008500172492682964,-89.04513937287659
283, AI공학관 흡연장 코너,AI공학관 1층 흡연장 정문,2000,0,173.0,66.0,1,25.0,0.0,0.0,14.0,0.008500172492682964,89.04513937287659
284, AI공학관 1층 흡연장 정문,AI공학관 길목,2000,0,173.0,66.0,1,25.0,0.0,0.0,55.0,0.07709506083444671,-89.48250030337415
285, AI공학관 흡연장 코너,AI공학관 길목,2000,0,173.0,65.0,1,0.0,0.0,0.0,66.0,0.08556722784903908,-89.38913768260855
286, AI공학관 길목,AI공학관 올라가는 길목,2000,0,173.0,66.0,1,25.0,0.0,0.0,48.0,0.053766989853744236,89.69179205063061
287, AI공학관 길목,AI공학관 올라가는 길목,2000,0,173.0,65.0,1,0.0,0.0,0.0,46.0,0.053766989853744236,89.69179205063061
288, AI공학관 올라가는 길목,AI공학관 더 올라가는 길목,2000,0,173.0,66.0,1,25.0,0.0,0.0,14.0,0.013034465235654574,89.74201422138862
289, AI공학관 올라가는 길목,AI공학관 더 올라가는 길목,2000,0,173.0,65.0,1,0.0,0.0,0.0,13.0,0.013034465235654574,89.74201422138862
290, AI공학관 더 올라가는 길목,총학생회관 더 내려가는 길목,2000,0,173.0,66.0,1,25.0,0.0,0.0,18.0,0.024751754641411057,89.71055986210361
291, AI공학관 더 올라가는 길목,총학생회관 더 내려가는 길목,2000,0,173.0,65.0,1,0.0,0.0,0.0,19.0,0.024751754641411057,89.71055986210361
292, 총학생회관 무당이 정류장,총학생회관 정문 길목,2000,0,173.0,66.0,1,25.0,0.0,0.0,2.0,0.00892950372650068,89.76228324813825
293, 총학생회관 무당이 정류장,총학생회관 정문 길목,2000,0,173.0,65.0,1,0.0,0.0,0.0,7.0,0.00892950372650068,89.76228324813825
294, 총학생회관 정문 길목,중앙도서관-총학생회관 길목,2000,0,173.0,65.0,1,0.0,0.0,0.0,43.0,0.04886594939235726,-89.11690927379364
295, 중앙도서관-총학생회관 길목,중앙도서관 횡단보도,2000,0,173.0,65.0,1,0.0,0.0,0.0,15.0,0.01957971023478734,-89.48228216910887
296, 중앙도서관 정문,중앙도서관 정문 길목,2000,0,173.0,66.0,2,25.0,0.0,0.0,15.0,0.01903050666269261,0.0
297, 중앙도서관 정문 길목,중앙도서관 흡연구역 입구,2000,0,173.0,66.0,2,25.0,0.0,0.0,32.0,0.04619865161436956,86.22406490331136
298, 중앙도서관 흡연구역 입구,교육대학원-중앙도서관 길목,2000,0,173.0,66.0,2,25.0,0.0,0.0,19.0,0.02883387047688575,0.0
299, 교육대학원-중앙도서관 길목,교육대학원 무당이 정류장,2000,0,173.0,66.0,2,25.0,0.0,0.0,38.0,0.04939161464612843,85.96393050992563
300, 교육대학원 무당이 정류장,교육대학원 앞 횡단보도,2000,0,173.0,66.0,2,25.0,0.0,0.0,10.0,0.018647622023670648,0.0
301, 교육대학원 앞 횡단보도,교육대학원 쪽문,2000,0,173.0,66.0,2,25.0,0.0,0.0,13.0,0.018088148578229823,-84.83218662523609
302, 교육대학원 쪽문,교육대학원 옆 횡단보도,2000,0,173.0,66.0,2,25.0,0.0,0.0,15.0,0.022611344743864403,-83.54971596399955
