birthYear,gender,height,weight,walkSpeed,temperature,precipitationProbability,precipitation,weightShortest,weightOptimal,takeTime
2000,0,173.0,65.0,1,19.0,0,0.0,0.0,0.017786981554024705,24
2000,0,173.0,66.0,2,19.0,0,0.0,89.84513758377167,0.02846862861528679,68
2000,0,173.0,66.0,2,19.0,0,0.0,0.0,0.020661023173019655,14
2000,0,173.0,66.0,2,19.0,0,0.0,0.0,0.029613020563533293,22
2000,0,173.0,65.0,1,19.0,0,0.0,0.0,0.04669539000537145,44
2000,0,173.0,65.0,1,19.0,0,0.0,-89.90786106040888,0.016903774593836834,11
2000,0,173.0,65.0,1,19.0,0,0.0,-61.50456784139774,0.011565423177815934,8
2000,0,173.0,65.0,1,19.0,0,0.0,89.68470278469094,0.05796208204793505,46
2000,0,173.0,65.0,1,19.0,0,0.0,-89.68470278469094,0.05796208204793505,54
2000,0,173.0,65.0,1,19.0,0,0.0,89.84513758377167,0.02846862861528679,22
2000,0,173.0,65.0,1,19.0,0,0.0,0.0,0.020661023173019655,14
2000,0,173.0,66.0,2,19.0,0,0.0,0.0,0.08566197338564518,51
2000,0,173.0,65.0,1,19.0,0,0.0,0.0,0.029613020563533293,20
2000,0,173.0,66.0,2,19.0,0,0.0,0.0,0.01638386516149479,10
2000,0,173.0,66.0,2,19.0,0,0.0,0.0,0.029055506562715917,34
2000,0,173.0,65.0,1,19.0,0,0.0,-89.16990225092867,0.05053224816316234,56
2000,0,173.0,65.0,1,19.0,0,0.0,89.93393794421443,0.013706459363799054,10
2000,0,173.0,66.0,2,19.0,0,0.0,-89.83121898248088,0.031027323606880212,36
2000,0,173.0,66.0,2,19.0,0,0.0,61.50456784139774,0.011565423177815934,12
2000,0,173.0,66.0,2,19.0,0,0.0,89.90786106040888,0.016903774593836834,13
2000,0,173.0,66.0,2,19.0,0,0.0,0.0,0.017786981554024705,13
2000,0,173.0,65.0,1,19.0,0,0.0,88.28283245312524,0.05995840791564111,49
2000,0,173.0,66.0,2,19.0,0,0.0,0.0,0.025512686947061426,29
